U.S. Energy Information Administration,,,,,,,,,,,,
August 2026 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: August 26, 2026",,,,,,,,,,,,
"Next Update: September 24, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Table 1.3 Primary Energy Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Total,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
1949,11.980905,5.145142,11.868994,28.988371,0,0.323365,Not Available,Not Available,Not Available,1.549262,1.872627,30.866419
1950,12.347109,5.968371,13.298283,31.614755,0,0.344218,Not Available,Not Available,Not Available,1.562307,1.906525,33.527374
1951,12.552996,7.048518,14.407674,33.987736,0,0.356131,Not Available,Not Available,Not Available,1.534669,1.8908,35.885997
1952,11.306479,7.549621,14.933895,33.778116,0,0.374325,Not Available,Not Available,Not Available,1.474369,1.848694,35.63455
1953,11.372684,7.906645,15.531959,34.802286,0,0.374015,Not Available,Not Available,Not Available,1.418601,1.792616,36.601753
1954,9.714667,8.330202,15.813334,33.851458,0,0.380915,Not Available,Not Available,Not Available,1.394327,1.775242,35.634683
1955,11.167259,8.997935,17.225269,37.380419,0,0.396597,Not Available,Not Available,Not Available,1.424143,1.82074,39.215038
1956,11.349723,9.613975,17.904978,38.855656,0,0.427307,Not Available,Not Available,Not Available,1.415871,1.843178,40.714353
1957,10.820631,10.190753,17.89839,38.892315,0.000112,0.455017,Not Available,Not Available,Not Available,1.333581,1.788598,40.693313
1958,9.533287,10.663199,18.49119,38.680955,0.001915,0.490013,Not Available,Not Available,Not Available,1.323123,1.813136,40.507326
1959,9.518353,11.717422,19.279894,40.507312,0.002187,0.481619,Not Available,Not Available,Not Available,1.352874,1.834493,42.356119
1960,9.837785,12.385366,19.873507,42.091028,0.006026,0.509889,0.000114,Not Available,Not Available,1.31987,1.829873,43.942401
1961,9.623351,12.926392,20.169333,42.711189,0.019678,0.53069,0.000321,Not Available,Not Available,1.294762,1.825773,44.564329
1962,9.906454,13.730841,20.997591,44.62938,0.026394,0.586917,0.000343,Not Available,Not Available,1.300242,1.887502,46.545105
1963,10.412538,14.403306,21.645265,46.45372,0.038147,0.576594,0.000573,Not Available,Not Available,1.323316,1.900483,48.392685
1964,10.964385,15.28785,22.241894,48.483687,0.039819,0.615189,0.000695,Not Available,Not Available,1.336802,1.952686,50.482863
1965,11.580608,15.768667,23.1839,50.514724,0.043164,0.672111,0.000646,Not Available,Not Available,1.334761,2.007517,52.564923
1966,12.14308,16.995332,24.335358,53.448822,0.064158,0.675363,0.000641,Not Available,Not Available,1.368985,2.044989,55.561695
1967,11.91375,17.944788,25.273959,55.117171,0.088456,0.767525,0.001079,Not Available,Not Available,1.340249,2.108853,57.31346
1968,12.330677,19.209656,26.966419,58.489442,0.141534,0.770679,0.001487,Not Available,Not Available,1.419495,2.191661,60.820485
1969,12.38154,20.677984,28.320574,61.343989,0.153722,0.864834,0.002097,Not Available,Not Available,1.440487,2.307418,63.808785
1970,12.264528,21.794707,29.499198,63.500772,0.239347,0.856267,0.001792,Not Available,Not Available,1.430962,2.289021,66.035827
1971,11.598411,22.469052,30.538718,64.573073,0.412939,0.919641,0.001869,Not Available,Not Available,1.432323,2.353833,67.351891
1972,12.076917,22.69819,32.918906,67.668048,0.583752,0.941469,0.004957,Not Available,Not Available,1.503065,2.449491,70.727518
1973,12.97149,22.512399,34.806025,70.28245,0.910177,0.939769,0.006707,Not Available,Not Available,1.529068,2.475544,73.716886
1974,12.662878,21.732488,33.420613,67.872076,1.272083,1.037971,0.008368,Not Available,Not Available,1.539662,2.586001,71.773471
1975,12.662786,19.947883,32.698781,65.32299,1.899798,1.034357,0.011076,Not Available,Not Available,1.498734,2.544167,69.788058
1976,13.584067,20.345426,35.141985,69.071379,2.111121,0.978986,0.012339,Not Available,Not Available,1.713373,2.704698,73.916575
1977,13.922103,19.930513,37.082642,70.949841,2.701762,0.762919,0.012223,Not Available,Not Available,1.838332,2.613474,76.324499
1978,13.765575,20.0004,37.919119,71.80982,3.024126,0.967183,0.01016,Not Available,Not Available,2.037605,3.014948,77.916212
1979,15.039586,20.665817,37.075478,72.843726,2.775827,0.965855,0.013269,Not Available,Not Available,2.151906,3.131031,78.819964
1980,15.422809,20.235459,34.158965,69.782203,2.739169,0.952569,0.017309,Not Available,Not Available,2.4755,3.445378,76.038149
1981,15.907526,19.74731,31.883616,67.522504,3.007589,0.900238,0.019401,Not Available,Not Available,2.596283,3.515922,74.15942
1982,15.321581,18.356222,30.17923,63.835377,3.131148,1.06582,0.016524,Not Available,Not Available,2.663452,3.745796,70.812347
1983,15.894442,17.220836,29.997044,63.096686,3.202549,1.144012,0.020728,Not Available,0.000009,2.904414,4.069164,70.488946
1984,17.070622,18.393613,30.992232,66.444979,3.552531,1.10655,0.026411,0.000018,0.000022,2.97112,4.104121,74.236954
1985,17.478428,17.703482,30.866482,66.0349,4.075563,0.970068,0.031818,0.000036,0.00002,3.016233,4.018174,74.268292
1986,17.260405,16.591364,32.150143,65.985158,4.380109,1.003146,0.035171,0.000048,0.000014,2.932095,3.970473,74.458221
1987,18.008451,17.639801,32.817479,68.474361,4.753933,0.862745,0.036766,0.000036,0.000012,2.874884,3.774443,77.160838
1988,18.846312,18.448393,34.172792,71.507048,5.586968,0.771456,0.035144,0.000031,0.000003,3.016049,3.822682,81.025097
1989,19.069762,19.601606,34.163952,72.865725,5.602161,0.927985,0.059093,0.052495,0.007206,3.159357,4.206136,82.711472
1990,19.172635,19.603267,33.499918,72.280598,6.10435,0.999258,0.062862,0.055962,0.009515,2.735112,3.862708,82.255545
1991,18.99167,20.032958,32.789101,71.823417,6.422132,0.986048,0.065478,0.05804,0.010069,2.781797,3.901431,82.213947
1992,19.122471,20.713632,33.467661,73.338389,6.479206,0.863536,0.066863,0.059819,0.009852,2.931678,3.931748,83.836077
1993,19.835148,21.229,33.587587,74.678844,6.410499,0.957046,0.069883,0.061682,0.010256,2.908172,4.007038,85.19129
1994,19.909463,21.728067,34.45342,76.149278,6.693877,0.887549,0.066207,0.06341,0.011762,3.027534,4.056461,87.052554
1995,20.088727,22.671139,34.341117,77.162044,7.075436,1.060561,0.059747,0.064396,0.010796,3.101142,4.296643,88.667979
1996,21.001914,23.084647,35.588927,79.698299,7.086674,1.184517,0.064089,0.065052,0.011035,3.156806,4.481499,91.403616
1997,21.445411,23.222716,36.065115,80.779682,6.596992,1.216219,0.066545,0.064172,0.011219,3.10522,4.463375,91.956252
1998,21.655744,22.830226,36.719796,81.272862,7.067809,1.103221,0.068209,0.063455,0.010324,2.92749,4.172699,92.601594
1999,21.622544,22.909227,37.732135,82.321598,7.610256,1.090257,0.06989,0.06201,0.015313,2.96329,4.20076,94.231538
2000,22.579528,23.823977,38.151574,84.620442,7.862349,0.940254,0.068686,0.059349,0.019084,3.008227,4.095599,96.69359
2001,21.914268,22.772558,38.083673,82.799758,8.028853,0.740271,0.069363,0.056968,0.022988,2.622356,3.511945,94.415713
2002,21.903989,23.510081,38.117422,83.59225,8.145429,0.90189,0.073188,0.055128,0.035329,2.700621,3.766156,95.575431
2003,22.320928,22.830642,38.707001,83.909087,7.959622,0.941051,0.076615,0.05357,0.038172,2.806471,3.915879,95.806493
2004,22.466195,22.923061,40.139253,85.666271,8.222774,0.91584,0.080335,0.053021,0.048258,3.008073,4.105527,98.033168
2005,22.796543,22.565364,40.216568,85.622667,8.16081,0.922336,0.083928,0.051939,0.06077,3.11393,4.232904,98.100924
2006,22.44716,22.238738,39.730512,84.477197,8.214626,0.986909,0.086406,0.054095,0.090722,3.26214,4.480272,97.234944
2007,22.749466,23.662759,39.367615,85.805032,8.458589,0.844504,0.091042,0.056946,0.117543,3.484824,4.594859,98.965112
2008,22.387437,23.842953,36.769383,83.040546,8.426491,0.869485,0.096834,0.061096,0.188899,3.851392,5.067705,96.646728
2009,19.691205,23.41594,34.77915,77.862484,8.35522,0.932995,0.10491,0.062525,0.252099,3.940009,5.292537,91.626429
2010,20.833968,24.574754,35.320511,80.723061,8.434433,0.887813,0.111428,0.06792,0.322953,4.505629,5.895744,95.141871
2011,19.657784,24.954539,34.639174,79.262601,8.268698,1.089639,0.115758,0.076262,0.410043,4.616493,6.308195,93.966595
2012,17.378234,26.088582,33.833083,77.303882,8.061822,0.942532,0.116599,0.093988,0.480484,4.516951,6.150554,91.677514
2013,18.038633,26.805134,34.397925,79.22427,8.244433,0.916345,0.117323,0.119904,0.572669,4.861035,6.587277,94.253453
2014,17.997632,27.382833,34.657827,80.016732,8.337559,0.884959,0.117672,0.161371,0.619808,5.012637,6.796448,95.332298
2015,15.54887,28.191095,35.368127,79.090311,8.336886,0.849861,0.117811,0.196551,0.650732,5.008496,6.823451,94.478128
2016,14.225905,28.400352,35.711903,78.31902,8.426753,0.913775,0.117498,0.252434,0.774499,5.053445,7.111651,94.08433
2017,13.837465,28.048685,36.043156,77.900709,8.418968,1.024736,0.117842,0.331366,0.867681,5.035305,7.37693,93.88875
2018,13.251532,31.162834,36.89182,81.280532,8.438068,0.998092,0.11798,0.38751,0.930341,5.096018,7.529941,97.400226
2019,11.315595,32.263692,36.866381,80.424546,8.451852,0.982225,0.116293,0.434742,1.009551,5.047849,7.59066,96.600277
